Obs,Segment,Stream Type,Bedform,Ph2SedReg,Class,ElevDS,L,DA,W_Ph2,D84,S,VC,VC_rat,ER,WtoD,IR,d50,d84_d16,nBars,nFCs,pArmor,SSP,SSP_bal
94,19_M05T03.02S01.02C,C4,Riffle Pool,CEFD,5,257.5434319,386.4675404,6.462801415,9.143553795,75.05838391,1.6,5.666666667,6.874392081,5.666666508,49.99999619,1,16.28558883,73.05696156,43.98817035,15.52523659,0.033087539,35.01269248,0.213306032
95,19_M05T03.02S01.02D,A1,Bedrock,TR,1,263.6391344,188.3572082,6.329630477,5.915894002,2936.740348,7.6,1.2,0.075,1.4,12,1,234.4218561,2740.862783,5.309061489,0,0,164.1430022,9.583934508
96,19_M05T03.01A,C4,Riffle Pool,CEFD,5,188.9667784,356.598598,48.89540207,12.43523316,231.957851,1.7,4.901960784,5.187287238,5.637255192,17.73913002,1.228571534,52.69678668,225.7381631,25.23846154,2.804273504,0.329059829,133.115366,0.247121238
97,19_M05T03.01B,A1,Bedrock,TR,1,195.062481,167.6318196,48.66181189,14.51365342,2936.740348,6.9,1.2,0.7296,1.4,12,1,234.4218561,2740.862783,0,0,0.2,538.6642085,8.633504826
98,19_M05T03.01C,F3c,Plane Bed,FSTCD,4,206.6443158,1065.833587,48.58574417,18.53093569,241.0591216,0.8,1.644736842,0.187317251,1.25,63.33333206,2,63.99999999,233.9287118,7.505862168,1.876465542,0.180154418,62.39229831,0.982910987
99,19_M05T03.02-,C4,Riffle Pool,CEFD,5,216.3974398,963.4257848,45.00217588,12.49619019,198.1485522,0.85416007,8.780487805,1.940487805,8.121951103,20.5,1.068965435,56.2112886,150.1320268,8.30370136,2.07592534,0.017399557,63.47705858,0.753133713
100,19_M05T03.03-,C4,Riffle Pool,FSTCD,4,224.6266382,1827.796404,31.00929573,13.47150259,234.4218561,1.434050322,4.524886878,1.160227405,2.805429697,31.57143021,1.279999971,61.40218166,227.0531166,4.923961981,1.094213774,0.026680007,84.28391598,0.762156784
101,19_M04-,C4,Plane Bed,CEFD,5,153.0021335,4347.759829,184.3713048,20.7253886,242.497078,0.497721702,2.941176471,0.334558824,3.676470518,27.20000076,1,63.06760367,240.5769846,1.840028041,0.46000701,0.110760603,89.93190445,1.133286337
102,19_M05-,C4,Plane Bed,CEFD,5,174.6418775,3179.823225,177.0788808,27.73544651,235.5108012,0.450493634,8.791208791,0.703296703,3.296703339,56.875,1,60.22908618,228.6348505,2.515863127,0.628965782,0.113581904,79.35497107,1.19198381
103,19_M06A,B4c,Plane Bed,UST,3,188.9667784,1142.944224,113.5605683,14.62968607,208.7756559,0.5,12.5,1.72,1.4375,24,1.821428537,53.84425013,202.0115709,6.124533333,0,0.350666667,66.57386654,1.285276674
